"拼音"	"寬式IPA"	"調號"	"字甲"	"字乙"	"釋義"
"zhy"	"tɕy"	5	"秬"		"黑黍也"
"zhy"	"tɕy"	5	"苣"		"萵～"
"zhy"	"tɕy"	5	"蚷"		"角～：蟲名"
"zhy"	"tɕy"	5	"䣰"		"同「醵」"
"zhy"	"tɕy"	5	"駏"	"𱅃"	"～驢：獸名"
"zhy"	"tɕy"	5	"具"		"器～；才～；～備"
"zhy"	"tɕy"	5	"埧"		"隄塘也"
"zhy"	"tɕy"	5	"椇"		"果名；俎名"
"zhy"	"tɕy"	5	"颶"	"飓"	"～風"
"zhy"	"tɕy"	5	"豦"	"𤢓"	"獸名"
"zhy"	"tɕy"	5	"據"	"据"	"根～；憑～"
"zhy"	"tɕy"	5	"勮"		"勤務也；懼也"
"zhy"	"tɕy"	5	"遽"		"急～"
"zhy"	"tɕy"	5	"醵"	"䣰"	"合資也"
"zhy"	"tɕy"	5	"鐻"	"𮣷"	"樂器；同「𧇽」"
"zhy"	"tɕy"	5	"臄"		"口蓋也"
"zhy"	"tɕy"	5	"倨"		"～傲"
"zhy"	"tɕy"	5	"踞"		"蹲～；蟠～"
"zhy"	"tɕy"	5	"鋸"	"锯"	"斧～"
"zhy"	"tɕy"	5	"句"		"語～；章～"
"zhy"	"tɕy"	5	"泃"		"水名"
"zhy"	"tɕy"	5	"怐"		"恐也"
"zhy"	"tɕy"	5	"齣"	"𱌮"	"戲劇之一；一回曰一～"
"zhy"	"tɕy"	5		"出"	"同「齣」：戲劇之一；一回曰一～"
"zhy"	"tɕy"	5	"瞿"		"～～"
"zhy"	"tɕy"	5	"懼"	"愳"	"恐～"
"zhy"	"tɕy"	5		"惧"	"恐～"
"zhy"	"tɕy"	5	"屨"	"屦"	"艸履也"
"zhy"	"tɕy"	5	"窶"	"窭"	"貧也"
"zhy"	"tɕy"	5	"齲"	"龋"	"齒蠹也"
"zhy"	"tɕy"	5	"𧇽"	"虡"	"懸鐘鼓之架也"
"zhy"	"tɕy"	5		"簴"	"懸鐘鼓之架也"
"zhy"	"tɕy"	5	"劊"	"刽"	"～子手"
"zhy"	"tɕy"	5	"佇"	"伫"	"久立也"
"zhy"	"tɕy"	5	"竚"	"𥩟"	"久立也"
"zhy"	"tɕy"	5	"苧"	"苎"	"～麻"
"zhy"	"tɕy"	5	"紵"	"纻"	"～絮"
"zhy"	"tɕy"	5	"住"		"止也；居～"
"zhy"	"tɕy"	5	"注"		"～意；～入；挹～；～解"
"zhy"	"tɕy"	5	"註"	"𬣣"	"～冊；～釋"
"zhy"	"tɕy"	5	"柱"		"砥～"
"zhy"	"tɕy"	5	"炷"		"燈芯也"
"zhy"	"tɕy"	5	"蛀"		"～木蟲"
"zhy"	"tɕy"	5	"駐"	"驻"	"～馬；～紮"
"zhy"	"tɕy"	5	"著"		"顯～；～述"
"zhy"	"tɕy"	5	"箸"	"筯"	"食具也"
"zhy"	"tɕy"	5	"鑄"	"鋳"	"～造"
"zhy"	"tɕy"	5		"铸"	"～造"
"zhy"	"tɕy"	5	"馵"	"𱄼"	"馬也"
"zhy"	"tɕy"	5	"屬"	"属"	"注也；～目；～意"
"zhy"	"tɕy"	5	"翥"		"鳳～"
"zhy"	"tɕy"	5	"屢"	"屡"	"頻也"
"zhy"	"tɕy"	5	"霔"		"大雨"
"zhy"	"tɕy"	5	"岠"		"大山也"
"zhy"	"tɕy"	5	"拄"		"撐也"
"zhy"	"tɕy"	5	"劇"	"剧"	"戲～"
"zhy"	"tɕy"	5	"拘"		"～板"
"zhy"	"tɕy"	6	"柱"		"屋～；～子"
"zhy"	"tɕy"	6	"苧"	"苎"	"～麻"
"zhy"	"tɕy"	6	"佇"	"伫"	"延～：久立也"
"zhy"	"tɕy"	6	"竚"	"𥩟"	"延～：久立也"
"zhy"	"tɕy"	6	"紵"	"纻"	"同「苧」"
"zhy"	"tɕy"	6	"鉅"	"钜"	"剛～"
"zhy"	"tɕy"	6	"苣"		"萵～"
"zhy"	"tɕy"	6	"秬"		"黑黍"
"zhy"	"tɕy"	6	"椇"		"枳～：果名"
"zhy"	"tɕy"	6	"住"		"居～；～房"
"zhy"	"tɕy"	6	"鳩"	"鸠"	"(白)"
"zhy"	"tɕy"	7	"局"		"結～；～部；～促"
"zhy"	"tɕy"	7	"侷"		"～促，同「局」"
"zhy"	"tɕy"	7	"跼"		"曲也"
"zhy"	"tɕy"	7	"挶"		"舁土之器；畚～"
"zhy"	"tɕy"	7	"梮"		"山行之具"
"zhy"	"tɕy"	7	"鋦"	"锔"	"以鐵縛物也"
"zhy"	"tɕy"	7	"匊"	"掬"	"兩手一～"
"zhy"	"tɕy"	7	"菊"		"～花；～月：農曆九月"
"zhy"	"tɕy"	7	"鞠"		"養也；～躬"
"zhy"	"tɕy"	7	"踘"		"蹴～"
"zhy"	"tɕy"	7	"鞫"	"諊"	"訊～"
"zhy"	"tɕy"	7	"椈"		"木名"
"zhy"	"tɕy"	7	"躹"		"～躬，同「鞠」"
"zhy"	"tɕy"	7	"橘"	"桔"	"果名"
"zhy"	"tɕy"	7	"劀"		"割惡瘡肉也"
"zhy"	"tɕy"	7	"鷸"	"鹬"	"鳥名；～蚌相爭"
"zhy"	"tɕy"	7	"劇"	"剧"	"戲～"
"zhy"	"tɕy"	7	"毱"		"皮毛丸也"
"zhy"	"tɕy"	7	"輂"	"𰺅"	"禹所乘"
"zhy"	"tɕy"	7	"䎤"	"𦔁"	"耕麥地"
"chy"	"tɕʰy"	1	"區"	"区"	"～別；～域"
"chy"	"tɕʰy"	1	"嶇"	"岖"	"崎～"
"chy"	"tɕʰy"	1	"樞"	"枢"	"～紐"
"chy"	"tɕʰy"	1	"軀"	"躯"	"身～"
"chy"	"tɕʰy"	1	"驅"	"駆"	"～逐；～使"
"chy"	"tɕʰy"	1	"駈"	"驱"	"～逐；～使"
"chy"	"tɕʰy"	1	"敺"	"𰕅"	"～逐；～使"
"chy"	"tɕʰy"	1	"貙"	"䝙"	"獸名"
"chy"	"tɕʰy"	1	"去"		"同「驅」"
"chy"	"tɕʰy"	1	"佉"		"～沙；～楼"
"chy"	"tɕʰy"	1	"呿"	"𠳷"	"張口皃；臥息也"
"chy"	"tɕʰy"	1	"胠"		"開也"
"chy"	"tɕʰy"	1	"祛"		"袂也"
"chy"	"tɕʰy"	1	"阹"		"依山而圈也"
"chy"	"tɕʰy"	1	"袪"		"逐也"
"chy"	"tɕʰy"	1	"魼"	"𱇜"	"魚名"
"chy"	"tɕʰy"	1	"咮"		"鳥口"
"chy"	"tɕʰy"	3	"杵"		"舂～；木～"
"chy"	"tɕʰy"	3	"處"	"处"	"～理；相～；居～；～女"
"chy"	"tɕʰy"	3	"𣎴"		"木餘也"
"chy"	"tɕʰy"	3	"去"		"除也"
"chy"	"tɕʰy"	5	"去"		"來～；～留"
"chy"	"tɕʰy"	5	"處"	"处"	"～所；～暑"
"chy"	"tɕʰy"	5	"絮"		"調也"
"chy"	"tɕʰy"	5	"𨧱"	"𨱊"	"鎖鈕也；～銊"
"chy"	"tɕʰy"	5	"𦁐"		"狄衣也"
"chy"	"tɕʰy"	5	"屈"		"～子：屈戌"
"chy"	"tɕʰy"	5	"呿"	"𠳷"	"臥吐息"
"chy"	"tɕʰy"	6	"杵"		"噘：嘴巴一～起"
"chy"	"tɕʰy"	7	"屈"		"～服；～曲；姓"
"chy"	"tɕʰy"	7	"詘"	"诎"	"屈也；卷也；折服也"
"chy"	"tɕʰy"	7	"出"		"～入；同「齣」：戲劇之一；一回曰一～"
"chy"	"tɕʰy"	7	"倔"		"～強，通作「屈彊」"
"chy"	"tɕʰy"	7	"崛"		"山短高也；～起"
"chy"	"tɕʰy"	7	"𨧱"	"𨱊"	"鎖鈕也；～銊"
"chy"	"tɕʰy"	7	"黜"		"貶也"
"chy"	"tɕʰy"	7	"絀"	"绌"	"貶也"
"chy"	"tɕʰy"	7	"齣"	"𱌮"	"戲劇之一；一回曰一～"
"chy"	"tɕʰy"	7	"窋"		"后稷子名不～"
"gny"	"ȵy"	3	"女"		"～子；男～"
"gny"	"ȵy"	3	"汝"		"水名；爾～"
"gny"	"ȵy"	5	"女"		"以女妻人也"
"shy"	"ɕy"	1	"吁"		"歎詞"
"shy"	"ɕy"	1	"訏"	"𬣙"	"大也"
"shy"	"ɕy"	1	"盱"		"～衡；憂也"
"shy"	"ɕy"	1	"芋"		"大也"
"shy"	"ɕy"	1	"冔"		"殷之冕也"
"shy"	"ɕy"	1	"虚"		"～實"
"shy"	"ɕy"	1	"墟"		"坵～"
"shy"	"ɕy"	1	"嘘"		"吹～"
"shy"	"ɕy"	1	"歔"		"歎詞：欷～"
"shy"	"ɕy"	1	"喣"	"呴"	"噓吹之也"
"shy"	"ɕy"	1	"姁"		"～媮：美皃"
"shy"	"ɕy"	1	"嫗"	"妪"	"～～：喜悅而言也"
"shy"	"ɕy"	1	"抒"		"～懷；～情；～難"
"shy"	"ɕy"	1	"紓"	"纾"	"～緩"
"shy"	"ɕy"	1	"舒"		"～展；～服"
"shy"	"ɕy"	1	"攄"	"摅"	"發表也，同「抒」"
"shy"	"ɕy"	1	"樗"		"～櫟：庸才"
"shy"	"ɕy"	1	"摴"		"～蒱：博具"
"shy"	"ɕy"	1	"鄃"		"漢縣名"
"shy"	"ɕy"	1	"輸"	"输"	"～贏；灌～"
"shy"	"ɕy"	1	"書"	"书"	"～籍；～信"
"shy"	"ɕy"	1	"伃"		"倢～：婦官也"
"shy"	"ɕy"	1	"妤"		"婕～：婦官也"
"shy"	"ɕy"	1	"㠊"		"崎～"
"shy"	"ɕy"	1	"紆"	"纡"	"～徐；縈～"
"shy"	"ɕy"	2	"殊"		"特～；絕也；～死"
"shy"	"ɕy"	2	"朱"		"～提：銀之別名"
"shy"	"ɕy"	2	"殳"		"兵器"
"shy"	"ɕy"	2	"藷"	"𫉄"	"番～；～蕷"
"shy"	"ɕy"	2		"薯"	"番～；～蕷"
"shy"	"ɕy"	3	"許"	"许"	"允～；～多；春秋國名；姓"
"shy"	"ɕy"	3	"詡"	"诩"	"大言也"
"shy"	"ɕy"	3	"栩"		"木名；～～：喜皃"
"shy"	"ɕy"	3	"鄦"	"𰻡"	"地名，同「許」"
"shy"	"ɕy"	3	"憮"	"怃"	"媚好也"
"shy"	"ɕy"	3	"咻"		"噢～"
"shy"	"ɕy"	3	"序"		"秩～；次～；庠～"
"shy"	"ɕy"	3	"緖"	"緒"	"頭～；～餘"
"shy"	"ɕy"	3		"绪"	"頭～；～餘"
"shy"	"ɕy"	3	"暑"		"寒～；～月：農曆六月"
"shy"	"ɕy"	3	"黍"		"禾～"
"shy"	"ɕy"	3	"墅"		"別～"
"shy"	"ɕy"	3	"鼠"		"老～；～疫"
"shy"	"ɕy"	3	"癙"		"憂病也"
"shy"	"ɕy"	3	"冔"		"殷冠"
"shy"	"ɕy"	5	"酗"		"～酒"
"shy"	"ɕy"	5	"序"		"秩～；次～；庠～"
"shy"	"ɕy"	5	"緖"	"緒"	"頭～；～餘"
"shy"	"ɕy"	5		"绪"	"頭～；～餘"
"shy"	"ɕy"	5	"煦"	"昫"	"和～"
"shy"	"ɕy"	5	"姁"		"～～：言如老嫗也"
"shy"	"ɕy"	5	"藇"	"𰰠"	"美也"
"shy"	"ɕy"	5	"腧"		"～血：醫術名"
"shy"	"ɕy"	5	"樹"	"树"	"～木；建～；植也"
"shy"	"ɕy"	5	"澍"		"時雨也"
"shy"	"ɕy"	5	"尌"		"立也，通「豎」"
"shy"	"ɕy"	5	"裋"		"短衣襦也"
"shy"	"ɕy"	5	"豎"	"竖"	"～立；～子"
"shy"	"ɕy"	5	"𥪡"	"竪"	"～立；～子"
"shy"	"ɕy"	5	"庻"	"庶"	"～民；嫡～；～幾"
"shy"	"ɕy"	5	"戍"		"屯兵守邊也"
"shy"	"ɕy"	5	"㖅"		"使犬聲"
"shy"	"ɕy"	5	"𡂡"	"𪢒"	"同「㖅」"
"shy"	"ɕy"	5	"恕"		"寬～"
"shy"	"ɕy"	5	"墅"		"別～"
"shy"	"ɕy"	5	"杼"		"洩水漕也"
"shy"	"ɕy"	5	"署"		"布～；～名；衙～"
"shy"	"ɕy"	5	"曙"		"曉也；～光"
"shy"	"ɕy"	5	"卌"		"四十並也"
"shy"	"ɕy"	6	"敘"	"敍"	"議～"
"shy"	"ɕy"	6		"叙"	"議～"
"shy"	"ɕy"	6	"杼"		"機之持緯者"
"shy"	"ɕy"	6	"漵"	"潊"	"～浦"
"shy"	"ɕy"	6		"溆"	"～浦"
"shy"	"ɕy"	6	"煦"	"昫"	"和～"
"shy"	"ɕy"	6	"樹"	"树"	"～苗；～尖；～筒；建～"
"shy"	"ɕy"	6	"豎"	"竖"	"立柱"
"shy"	"ɕy"	6	"𥪡"	"竪"	"立柱"
"shy"	"ɕy"	6	"裋"		"短褐衣也"
"shy"	"ɕy"	6	"薯"		"紅～"
"shy"	"ɕy"	7	"术"		"同「術」：技～；方～；心～；同「朮」：藥名"
"shy"	"ɕy"	7	"朮"		"藥名"
"shy"	"ɕy"	7	"怵"		"～惕"
"shy"	"ɕy"	7	"訹"	"𰵓"	"被誘也；通「怵」"
"shy"	"ɕy"	7	"述"		"著～；陳～"
"shy"	"ɕy"	7	"術"		"技～；方～；心～"
"shy"	"ɕy"	7	"沭"		"水名"
"shy"	"ɕy"	7	"秫"		"五穀之黏者"
"shy"	"ɕy"	7	"鉥"	"𬬸"	"長鍼也"
"y"	"y"	1	"淤"		"～泥；～塞"
"y"	"y"	1	"瘀"		"～血"
"y"	"y"	1	"迂"		"～腐"
"y"	"y"	1	"紓"	"纾"	"縈繞也"
"y"	"y"	2	"于"		"往也；語詞，同「於」"
"y"	"y"	2	"圩"		"扞水隄也"
"y"	"y"	2	"盂"		"盛食物器；？？"
"y"	"y"	2	"竽"		"樂器"
"y"	"y"	2	"玗"		"美石也"
"y"	"y"	2	"杅"		"盛水器"
"y"	"y"	2	"邘"		"鄭地"
"y"	"y"	2	"釪"	"𰽗"	"僧家缽，通作「盂」"
"y"	"y"	2	"於"		"在也；～是"
"y"	"y"	2	"余"		"我也；姓"
"y"	"y"	2	"畬"		"熟田也"
"y"	"y"	2	"狳"		"犰～：獸名"
"y"	"y"	2	"艅"		"～艎"
"y"	"y"	2	"餘"	"馀"	"有～"
"y"	"y"	2	"俞"		"美也；姓"
"y"	"y"	2	"愉"		"～悅；～快"
"y"	"y"	2	"逾"	"踰"	"～越"
"y"	"y"	2	"榆"		"木名"
"y"	"y"	2	"揄"		"～扬；引也"
"y"	"y"	2	"隃"		"～麋：漢縣名；同「逾」"
"y"	"y"	2	"渝"		"變也"
"y"	"y"	2	"媮"		"同「愉」"
"y"	"y"	2	"羭"		"牡羊；美也"
"y"	"y"	2	"毹"		"氍～"
"y"	"y"	2	"喻"		"嘔～：和悅皃"
"y"	"y"	2	"覦"	"觎"	"覬～"
"y"	"y"	2	"瑜"		"美玉也；玉光彩也"
"y"	"y"	2	"窬"		"門邊小竇；穿～"
"y"	"y"	2	"牏"		"築墻短版也"
"y"	"y"	2	"歈"		"巴～：歌名"
"y"	"y"	2	"蝓"		"蛞～：蝸牛也"
"y"	"y"	2	"褕"		"直裾也；～衣：美衣也"
"y"	"y"	2	"魚"	"鱼"	"～鱉"
"y"	"y"	2	"漁"	"渔"	"取魚也；～村"
"y"	"y"	2	"禺"		"古山名；番～"
"y"	"y"	2	"愚"		"～昧；謙詞"
"y"	"y"	2	"喁"		"聲相應和也；～～向治"
"y"	"y"	2	"隅"		"方～"
"y"	"y"	2	"嵎"		"山曲也"
"y"	"y"	2	"齵"	"𱌹"	"齒牙參差也"
"y"	"y"	2	"舁"		"共舉也"
"y"	"y"	2	"臾"		"須～"
"y"	"y"	2	"萸"		"茱～"
"y"	"y"	2	"諛"	"谀"	"諂～"
"y"	"y"	2	"腴"		"膏～"
"y"	"y"	2	"與"	"与"	"同「歟」；～～：繁盛皃"
"y"	"y"	2	"歟"	"欤"	"語意未定之助詞"
"y"	"y"	2	"璵"	"玙"	"～蟠：寶石名"
"y"	"y"	2	"輿"	"舆"	"車也；～論"
"y"	"y"	2	"轝"	"𬛼"	"車也；～論"
"y"	"y"	2	"旟"	"𭤰"	"旗名"
"y"	"y"	2	"娛"	"娱"	"～樂"
"y"	"y"	2	"虞"		"唐～；料也；憂也"
"y"	"y"	2	"雩"		"請雨祭名"
"y"	"y"	2	"予"		"我也，同「余」"
"y"	"y"	2	"伃"		"倢～：女官名"
"y"	"y"	2	"妤"		"婕～：女官名"
"y"	"y"	2	"如"		"似也；往也；假～"
"y"	"y"	2	"袽"		"敝衣也"
"y"	"y"	2	"筎"		"竹～"
"y"	"y"	2	"洳"		"漸濕也"
"y"	"y"	2	"銣"	"铷"	"化學原質名"
"y"	"y"	2	"鴽"	"𫛪"	"鵪鶉別名"
"y"	"y"	2	"蕠"		"粘著也"
"y"	"y"	2	"挐"		"持也"
"y"	"y"	2	"茹"		"食也；臭也；萊～"
"y"	"y"	2	"儒"		"～士；～家"
"y"	"y"	2	"濡"		"沾～"
"y"	"y"	2	"薷"		"香～：艸名"
"y"	"y"	2	"襦"		"短衣也"
"y"	"y"	2	"獳"		"怒犬皃"
"y"	"y"	2	"蠕"		"蟲行皃"
"y"	"y"	2	"顬"	"颥"	"顳～"
"y"	"y"	2	"嚅"		"囁～"
"y"	"y"	2	"𩍥"		"鞋～"
"y"	"y"	2	"醹"		"厚酒也"
"y"	"y"	2	"衙"		"～～：行皃"
"y"	"y"	2	"譽"	"誉"	"稱人善"
"y"	"y"	2	"樗"		"不材木"
"y"	"y"	2	"摴"		"～蒱戲"
"y"	"y"	2	"楰"		"木名"
"y"	"y"	2	"繻"	"𦈡"	"帛邊"
"y"	"y"	2	"瘉"	"癒"	"病也"
"y"	"y"	2	"箊"		"箖～"
"y"	"y"	2	"𠍶"		"身矮也"
"y"	"y"	3	"羽"		"～毛；～翼；～士"
"y"	"y"	3	"雨"		"～雪"
"y"	"y"	3	"語"	"语"	"言～"
"y"	"y"	3	"圄"		"囹～"
"y"	"y"	3	"𣣄"		"樂器"
"y"	"y"	3	"齬"	"龉"	"齟～"
"y"	"y"	3	"鋙"	"铻"	"鉏～"
"y"	"y"	3	"俁"	"俣"	"大也"
"y"	"y"	3	"麌"		"眾多皃；牡鹿也"
"y"	"y"	3	"噳"		"眾也；麀鹿～～"
"y"	"y"	3	"禹"		"夏～；姓"
"y"	"y"	3	"瑀"		"美石名"
"y"	"y"	3	"鄅"		"春秋國名"
"y"	"y"	3	"萭"		"姓"
"y"	"y"	3	"與"	"与"	"及也；給也；～其"
"y"	"y"	3	"嶼"	"屿"	"島～"
"y"	"y"	3	"鱮"	"𫚈"	"魚名"
"y"	"y"	3	"嫗"	"妪"	"煦～：愛護之意"
"y"	"y"	3	"傴"	"伛"	"曲背也"
"y"	"y"	3	"圉"		"養馬之人也；邊～"
"y"	"y"	3	"庾"		"倉～；古量名"
"y"	"y"	3	"瘐"		"～死獄中"
"y"	"y"	3	"楰"		"木名"
"y"	"y"	3	"宇"		"～宙；屋～；器～"
"y"	"y"	3	"予"		"給也，同「與」"
"y"	"y"	3	"伃"		"倢～：女官名"
"y"	"y"	3	"妤"		"婕～：女官名"
"y"	"y"	3	"窳"		"苦～；～惰"
"y"	"y"	3	"噢"		"～咻：痛念聲"
"y"	"y"	3	"汝"		"尔也；水名"
"y"	"y"	3	"籹"		"粔～"
"y"	"y"	3	"女"		"尔也，同「汝」"
"y"	"y"	3	"乳"		"哺～；孳～"
"y"	"y"	3	"擩"		"染也"
"y"	"y"	3	"醹"		"厚酒也"
"y"	"y"	3	"蕊"	"蘂"	"花～"
"y"	"y"	3		"蕋"	"花～"
"y"	"y"	3	"繠"		"佩垂皃"
"y"	"y"	3	"茹"		"食也"
"y"	"y"	3	"藇"	"𰰠"	"美也"
"y"	"y"	3	"籞"		"苑也"
"y"	"y"	3	"敔"		"木虎"
"y"	"y"	3	"詡"	"诩"	"大言也"
"y"	"y"	3	"栩"		"～～：喜也；苞～"
"y"	"y"	3	"齲"	"龋"	"齒病"
"y"	"y"	3	"瘉"	"癒"	"病也"
"y"	"y"	5	"與"	"与"	"參～"
"y"	"y"	5	"譽"	"誉"	"名～；毀～"
"y"	"y"	5	"鸒"	"𱊭"	"鳥名"
"y"	"y"	5	"𩁕"	"𪇬"	"鳥名"
"y"	"y"	5	"藇"	"𰰠"	"藷～，同「薯蕷」"
"y"	"y"	5	"礜"	"𪿝"	"毒石名"
"y"	"y"	5	"禺"		"獸名"
"y"	"y"	5	"寓"		"客～；～意"
"y"	"y"	5	"庽"		"客～"
"y"	"y"	5	"遇"		"～合；待～"
"y"	"y"	5	"御"		"防～；統治也；～駕；～宇"
"y"	"y"	5	"禦"		"抵～"
"y"	"y"	5	"籞"		"竹籬也；苑也"
"y"	"y"	5	"馭"	"驭"	"駕～；～人，同「御」"
"y"	"y"	5	"裕"		"寬～"
"y"	"y"	5	"飫"	"饫"	"食多也"
"y"	"y"	5	"饇"	"𱃲"	"食多也"
"y"	"y"	5	"喻"		"比～"
"y"	"y"	5	"諭"	"谕"	"示～"
"y"	"y"	5	"愈"		"勝也；益甚也；病瘥也"
"y"	"y"	5	"瘉"	"癒"	"病瘥也"
"y"	"y"	5	"預"	"预"	"早也；干～"
"y"	"y"	5	"澦"	"滪"	"灩～堆：地名"
"y"	"y"	5	"蕷"	"蓣"	"薯～：山藥也"
"y"	"y"	5	"豫"		"悅也；～備；猶～；～州"
"y"	"y"	5	"玉"		"～石；～皃"
"y"	"y"	5	"鈺"	"钰"	"堅金也"
"y"	"y"	5	"尉"		"～遲：複姓"
"y"	"y"	5	"𥸤"	"籲"	"呼～"
"y"	"y"	5	"龥"	"𬱳"	"呼～"
"y"	"y"	5	"吁"		"呼～，同「𥸤」"
"y"	"y"	5	"雨"		"～雪：下雪"
"y"	"y"	5	"芋"		"蔬菜名"
"y"	"y"	5	"語"	"语"	"告語也"
"y"	"y"	5	"嫗"	"妪"	"老～"
"y"	"y"	5	"棜"		"承樽器；無足樽"
"y"	"y"	5	"孺"		"～子；～慕"
"y"	"y"	5	"茹"		"食也；臭也；萊～"
"y"	"y"	5	"洳"		"沮～"
"y"	"y"	5	"銣"	"铷"	"化學原質名"
"y"	"y"	5	"淤"		"泥～"
"y"	"y"	5	"櫖"		"林～：山林也"
"y"	"y"	5	"瘀"		"血～"
"y"	"y"	5	"女"		"以女妻人也"
"y"	"y"	6	"愈"		"～發"
"y"	"y"	6	"芋"		"～子；～頭"
"y"	"y"	6	"喻"		"比～"
"y"	"y"	7	"域"		"疆～"
"y"	"y"	7	"棫"		"木名"
"y"	"y"	7	"蜮"		"鬼～"
"y"	"y"	7	"罭"		"漁網也"
"y"	"y"	7	"閾"	"阈"	"門限也"
"y"	"y"	7	"彧"		"盛也"
"y"	"y"	7	"淢"		"疾流也"
"y"	"y"	7	"緎"	"𰬟"	"縫也"
"y"	"y"	7	"䰥"	"魊"	"小兒鬼也"
"y"	"y"	7	"蔚"		"州名"
"y"	"y"	7	"熨"		"～貼"
"y"	"y"	7	"鬱"	"欝"	"憂～"
"y"	"y"	7		"郁"	"憂～，同「鬱」"
"y"	"y"	7	"惌"		"心所鬱結也"
"y"	"y"	7	"菀"		"茂盛皃"
"y"	"y"	7	"黦"		"色壞也"
"y"	"y"	7	"廿"		"二十並也"
"y"	"y"	7	"入"		"出～"
"y"	"y"	7	"役"		"～使；夫～；征～"
"y"	"y"	7	"疫"		"疾～"
"y"	"y"	7	"𧘣"		"殳也"
"y"	"y"	7	"坄"	"垼"	"陶灶也"
"y"	"y"	7	"𢺴"		"使彎曲：把竹子～彎"
"ba"	"pɑ"	1	"巴"
"ba"	"pɑ"	1	"芭"
"ba"	"pɑ"	1	"笆"
"ba"	"pɑ"	1	"粑"		"～～：餅類食物"
"ba"	"pɑ"	1	"疤"
"ba"	"pɑ"	1	"杷"
"ba"	"pɑ"	1	"琶"
"ba"	"pɑ"	1	"妑"
"ba"	"pɑ"	1	"羓"
"ba"	"pɑ"	1	"爸"
"ba"	"pɑ"	1	"豝"
"ba"	"pɑ"	1	"葩"
"ba"	"pɑ"	1	"鈀"	"钯"	"化學元素名"
"ba"	"pɑ"	1	"扒"
"ba"	"pɑ"	1	"叭"
"ba"	"pɑ"	1	"爬"		"～搔"
"ba"	"pɑ"	2	"爬"
"ba"	"pɑ"	2	"筢"
"ba"	"pɑ"	2	"跁"
"ba"	"pɑ"	2	"鈀"	"钯"	"～頭：耕器"
"ba"	"pɑ"	2	"耙"
"ba"	"pɑ"	2	"扒"		"～手；～算盤"
"ba"	"pɑ"	3	"把"
"ba"	"pɑ"	3	"靶"
"ba"	"pɑ"	3	"㞎"		"～～：屎或泛指骯髒之物"
"ba"	"pɑ"	5	"杷"
"ba"	"pɑ"	5	"弝"
"ba"	"pɑ"	5	"耙"
"ba"	"pɑ"	5	"吧"
"ba"	"pɑ"	5	"羓"
"ba"	"pɑ"	5	"𥝧"
"ba"	"pɑ"	5	"欛"
"ba"	"pɑ"	5	"霸"	"覇"
"ba"	"pɑ"	5	"灞"
"ba"	"pɑ"	5	"壩"	"坝"
"ba"	"pɑ"	5	"垻"
"ba"	"pɑ"	5	"伯"		"五霸本字"
"ba"	"pɑ"	5	"罷"	"罢"
"ba"	"pɑ"	5	"䆉"	"𫁂"
"ba"	"pɑ"	5	"絆"	"绊"	"～根子艸：白茅"
"ba"	"pɑ"	6	"罷"	"罢"
"ba"	"pɑ"	6	"稗"
"ba"	"pɑ"	7	"八"
"ba"	"pɑ"	7	"捌"
"ba"	"pɑ"	7	"哵"
"ba"	"pɑ"	7	"爸"
"ba"	"pɑ"	7	"扒"		"掊扒"
"pa"	"pʰɑ"	1	"趴"		"兩腿分開"
"pa"	"pʰɑ"	1	"葩"
"pa"	"pʰɑ"	3	"拍"		"響聲"
"pa"	"pʰɑ"	3	"啪"		"象聲詞"
"pa"	"pʰɑ"	3	"趴"		"兩腿分開"
"pa"	"pʰɑ"	3	"派"		"～司：英文pass的譯音"
"pa"	"pʰɑ"	5	"怕"
"pa"	"pʰɑ"	7	"拔"
"pa"	"pʰɑ"	7	"坺"
"pa"	"pʰɑ"	7	"犮"
"pa"	"pʰɑ"	7	"茇"
"pa"	"pʰɑ"	7	"跋"
"pa"	"pʰɑ"	7	"鈸"	"钹"
"pa"	"pʰɑ"	7	"軷"	"𫐈"
"pa"	"pʰɑ"	7	"胈"
"pa"	"pʰɑ"	7	"魃"
"pa"	"pʰɑ"	7	"鼥"
"pa"	"pʰɑ"	7	"拍"		"～甜酒；前綴，表示程度很深：～實的、～密的、～飽的、～滿的"
"ma"	"mɑ"	1	"媽"	"妈"
"ma"	"mɑ"	1	"嗎"	"吗"
"ma"	"mɑ"	1	"螞"	"蚂"	"～螂"
"ma"	"mɑ"	1	"麼"	"麽"
"ma"	"mɑ"	1	"嬤"	"嬷"
"ma"	"mɑ"	1	"𥉞"	"𥄲"
"ma"	"mɑ"	1	"麻"		"發～～風：一反常態"
"ma"	"mɑ"	2	"麻"	"蔴"
"ma"	"mɑ"	2	"嘛"
"ma"	"mɑ"	2	"痳"
"ma"	"mɑ"	2	"蟆"		"蛤～"
"ma"	"mɑ"	3	"馬"	"马"
"ma"	"mɑ"	3	"嗎"	"吗"
"ma"	"mɑ"	3	"螞"	"蚂"	"～蟻、～蟥"
"ma"	"mɑ"	3	"瑪"	"玛"
"ma"	"mɑ"	3	"碼"	"码"
"ma"	"mɑ"	3	"鎷"	"𨰾"
"ma"	"mɑ"	3	"𧜗"	"䘞"
"ma"	"mɑ"	3	"鉚"	"铆"	"～子、～搭、～碗"
"ma"	"mɑ"	3	"榪"	"杩"
"ma"	"mɑ"	5	"罵"	"駡"
