"拼音"	"寬式IPA"	"調號"	"字甲"	"字乙"	"釋義"
"z"	"tsɿ"	6	"𦍺"		"～羊"
"z"	"tsɿ"	6	"寺"		"～觀；～人"
"z"	"tsɿ"	6	"自"		"～家"
"c"	"tsʰɿ"	1	"雌"		"～雄"
"c"	"tsʰɿ"	1	"疵"		"～瑕"
"c"	"tsʰɿ"	1	"玼"		"～瑕，同「疵」"
"c"	"tsʰɿ"	1	"庛"		"耒下岐木也"
"c"	"tsʰɿ"	1	"恣"		"～睢"
"c"	"tsʰɿ"	1	"差"		"等～；參～"
"c"	"tsʰɿ"	1	"薺"	"荠"	"采～：逸詩名"
"c"	"tsʰɿ"	1	"訾"		"詆毀也"
"c"	"tsʰɿ"	1	"頾"	"髭"	"口上鬚也"
"c"	"tsʰɿ"	1	"𦙼"		"子腸"
"c"	"tsʰɿ"	3	"此"		"彼～"
"c"	"tsʰɿ"	3	"泚"		"水清也；汗出皃"
"c"	"tsʰɿ"	3	"𠈈"	"佌"	"～～：小也"
"c"	"tsʰɿ"	3	"玼"		"玉色鮮明也"
"c"	"tsʰɿ"	3	"跐"		"躡也"
"c"	"tsʰɿ"	3	"訿"		"～～：不思稱意"
"c"	"tsʰɿ"	3	"訾"		"苟～"
"c"	"tsʰɿ"	5	"次"		"～序；旅～；一～，二～"
"c"	"tsʰɿ"	5	"佽"		"～助"
"c"	"tsʰɿ"	5	"栨"		"楣～"
"c"	"tsʰɿ"	5	"朿"		"木芒也"
"c"	"tsʰɿ"	5	"刺"		"～殺；～探；芒～；～史；名～"
"c"	"tsʰɿ"	5	"莿"		"芒～，同「刺」，同「朿」"
"c"	"tsʰɿ"	5	"㓨"		"采取也，同「刺」"
"c"	"tsʰɿ"	5	"廁"	"厕"	"～所；～身其閒"
"c"	"tsʰɿ"	5	"賜"	"赐"	"賞～"
"c"	"tsʰɿ"	5	"儩"	"𰂭"	"盡也"
"c"	"tsʰɿ"	5	"絘"	"𰬒"	"績～"
"c"	"tsʰɿ"	5	"眥"	"眦"	"目內眦"
"c"	"tsʰɿ"	5	"柴"		"積禽"
"c"	"tsʰɿ"	5	"伺"		"新～候"
"s"	"sɿ"	1	"私"		"公～"
"s"	"sɿ"	1	"厶"		"公～"
"s"	"sɿ"	1	"司"		"主其事也；官署名"
"s"	"sɿ"	1	"恖"	"思"	"～想；～念；語氣詞"
"s"	"sɿ"	1	"偲"		"～～：相切責也"
"s"	"sɿ"	1	"緦"	"缌"	"～麻：服名"
"s"	"sɿ"	1	"颸"	"飔"	"涼風也"
"s"	"sɿ"	1	"罳"		"罘～"
"s"	"sɿ"	1	"鍶"	"锶"	"鐵器；金屬原質名"
"s"	"sɿ"	1	"斯"		"螽～；此也；語詞"
"s"	"sɿ"	1	"澌"		"～滅"
"s"	"sɿ"	1	"嘶"		"驢～馬叫"
"s"	"sɿ"	1	"撕"		"～破；提～"
"s"	"sɿ"	1	"廝"	"厮"	"使役也"
"s"	"sɿ"	1	"𤺊"		"喉病聲不清也"
"s"	"sɿ"	1	"蟴"	"蟖"	"蛄～：毛蟲"
"s"	"sɿ"	1	"絲"	"丝"	"蠶～；～毫"
"s"	"sɿ"	1	"鷥"	"鸶"	"鷺～"
"s"	"sɿ"	1	"𦸷"	"𬝊"	"～瓜"
"s"	"sɿ"	1	"虒"		"～祁，宮名"
"s"	"sɿ"	1	"禠"		"福也"
"s"	"sɿ"	1	"蜤"		"～螽：螽斯"
"s"	"sɿ"	1	"鋖"		"平木器"
"s"	"sɿ"	1	"釃"	"酾"	"分也；漉酒也"
"s"	"sɿ"	1	"螄"	"蛳"	"螺～"
"s"	"sɿ"	1	"師"	"师"	"～傅；～心；律～"
"s"	"sɿ"	1	"獅"	"狮"	"～子"
"s"	"sɿ"	1	"溮"	"浉"	"水名"
"s"	"sɿ"	1	"廁"	"厕"	"破讀。茅～屋；～屋"
"s"	"sɿ"	3	"死"		"生～"
"s"	"sɿ"	5	"四"		"數名"
"s"	"sɿ"	5	"泗"		"水名；涕～"
"s"	"sɿ"	5	"駟"	"驷"	"四馬也"
"s"	"sɿ"	5	"柶"		"匕也"
"s"	"sɿ"	5	"佀"	"似"	"肖也；～乎；嗣也"
"s"	"sɿ"	5	"姒"		"長婦也"
"s"	"sɿ"	5	"耜"		"耒～"
"s"	"sɿ"	5	"禩"		"同「祀」，奕～"
"s"	"sɿ"	5	"祀"		"祭～"
"s"	"sɿ"	5	"汜"		"水決復入也"
"s"	"sɿ"	5	"戺"		"砌也"
"s"	"sɿ"	5	"飤"		"～養動物"
"s"	"sɿ"	5	"飼"	"饲"	"同「飤」。～養動物"
"s"	"sɿ"	5	"嗣"		"～後；後～"
"s"	"sɿ"	5	"食"		"以食與人也"
"s"	"sɿ"	5	"俟"		"待也"
"s"	"sɿ"	5	"竢"		"同「俟」。待也"
"s"	"sɿ"	5	"涘"		"涯～"
"s"	"sɿ"	5	"騃"	"𫘤"	"駓～：獸行皃"
"s"	"sɿ"	5	"廁"	"厕"	"茅～"
"s"	"sɿ"	5	"肆"		"放～；市～；借作「四」"
"s"	"sɿ"	5	"兕"		"獸名"
"s"	"sɿ"	5	"恖"	"思"	"悲也"
"s"	"sɿ"	5	"澌"		"～滅"
"s"	"sɿ"	5	"僿"		"無悃誠也"
"s"	"sɿ"	5	"士"		"～人；～女；將～"
"s"	"sɿ"	5	"仕"		"～宦"
"s"	"sɿ"	5	"事"		"～務；～奉"
"s"	"sɿ"	5	"使"		"出使曰～"
"s"	"sɿ"	5	"肂"		"埋棺坎下"
"s"	"sɿ"	5	"笥"		"衣箱"
"s"	"sɿ"	5	"伺"		"～候"
"s"	"sɿ"	5	"侍"		"新服～"
"s"	"sɿ"	5	"峙"		"新屹立也；具也"
"s"	"sɿ"	6	"仕"		"～宦"
"s"	"sɿ"	6	"俟"		"待也"
"s"	"sɿ"	6	"竢"		"同「俟」。待也"
"s"	"sɿ"	6	"耜"		"耒～"
"s"	"sɿ"	6	"姒"		"長婦也"
"s"	"sɿ"	6	"祀"		"祭～"
"s"	"sɿ"	6	"涘"		"涯～"
"s"	"sɿ"	6	"汜"		"水決復入也"
